Subject Number, Block, Trial Number, Dynomometer Response, Duration
999999,NA,ITI,NA,1000
999999,study,1,0,1000
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,2,0,1500
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,3,0,1000
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,4,0,1500
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,5,0,1000
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,6,0,1500
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,7,0,1000
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,8,0,1500
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,9,0,1000
999999,study,study,NA,NA
999999,NA,ITI,NA,1000
999999,study,10,0,1500
999999,study,study,NA,NA
999999,NA,End of Block,NA,NA
999999,NA,ITI,NA,1000
999999,NA,Break,NA,NA
999999,NA,ITI,NA,1000
999999,NA,ITI,NA,1309
999999,NA,Practice,4,NA
999999,NA,ITI,NA,1292
999999,NA,Practice,4,NA
999999,NA,ITI,NA,1720
999999,NA,Practice,4,NA
999999,NA,ITI,NA,1081
999999,NA,Practice,4,NA
999999,NA,ITI,NA,1653
999999,NA,Practice,0,NA
999999,NA,ITI,NA,1658
999999,NA,Practice,4,NA
999999,NA,ITI,NA,1201
999999,NA,Practice,4,NA
999999,NA,ITI,NA,1672
999999,NA,Practice,4,NA
999999,NA,ITI,NA,1519
999999,NA,Practice,4,NA
